date, pm25
2016/9/7, 55
2016/9/8, 56
2016/9/9, 60
2016/9/10, 96
2016/9/11, 90
2016/9/12, 97
2016/9/13, 74
2016/9/14, 86
2016/9/15, 67
2016/9/16, 49
2016/9/17, 72
2016/9/18, 50
2016/9/19, 33
2016/9/20, 29
2016/9/21, 53
2016/9/22, 43
2016/9/23, 50
2016/9/24, 71
2016/9/25, 67
2016/9/26, 55
2016/9/27, 47
2016/9/28, 63
2016/9/29, 59
2016/9/30, 67
2016/10/1, 83
2016/4/2, 83
2016/4/3, 88
2016/4/4, 111
2016/4/5, 114
2016/4/6, 88
2016/4/7, 77
2016/4/8, 83
2016/4/9, 107
2016/4/10, 113
2016/4/11, 115
2016/4/12, 116
2016/4/13, 107
2016/4/14, 99
2016/4/15, 121
2016/4/16, 107
2016/4/19, 107
2016/4/20, 104
2016/4/21, 130
2016/4/22, 113
2016/4/23, 73
2016/4/24, 83
2016/4/25, 81
2016/4/26, 90
2016/4/27, 85
2016/4/30, 76
2016/5/1, 83
2016/5/2, 73
2016/5/3, 66
2016/5/4, 73
2016/5/5, 75
2016/5/6, 49
2016/5/7, 59
2016/5/8, 69
2016/5/9, 61
2016/5/10, 62
2016/5/11, 67
2016/5/12, 57
2016/5/13, 60
2016/5/14, 68
2016/5/15, 69
2016/5/16, 59
2016/5/17, 59
2016/5/18, 63
2016/5/19, 62
2016/5/20, 56
2016/5/21, 41
2016/5/22, 66
2016/5/23, 58
2016/5/24, 44
2016/5/25, 41
2016/5/26, 37
2016/5/27, 60
2016/5/28, 63
2016/5/29, 59
2016/5/30, 46
2016/5/31, 54
2016/6/1, 39
2016/6/2, 68
2016/6/3, 60
2016/6/4, 54
2016/6/5, 60
2016/6/6, 55
2016/6/7, 96
2016/6/8, 75
2016/6/9, 55
2016/6/10, 61
2016/6/11, 60
2016/6/12, 72
2016/6/13, 55
2016/6/14, 63
2016/6/15, 72
2016/6/16, 68
2016/6/17, 88
2016/6/18, 79
2016/6/19, 80
2016/6/20, 80
2016/6/21, 99
2016/6/22, 51
2016/6/23, 57
2016/6/24, 44
2016/6/25, 52
2016/6/26, 29
2016/6/28, 46
2016/6/29, 40
2016/6/30, 49
2016/7/1, 53
2016/1/5, 188
2016/1/6, 187
2016/1/7, 212
2016/1/8, 242
2016/1/9, 211
2016/1/10, 194
2016/1/11, 178
2016/1/12, 197
2016/1/13, 181
2016/1/14, 173
2016/1/15, 217
2016/1/16, 163
2016/1/17, 149
2016/1/18, 149
2016/1/19, 174
2016/1/20, 142
2016/1/21, 159
2016/1/22, 163
2016/1/23, 146
2016/1/24, 163
2016/1/25, 173
2016/1/26, 195
2016/1/27, 168
2016/1/28, 173
2016/1/29, 217
2016/1/30, 218
2016/1/31, 195
2016/2/1, 179
2016/2/2, 193
2016/2/3, 173
2016/2/4, 193
2016/2/5, 185
2016/2/6, 205
2016/2/7, 165
2016/2/8, 119
2016/2/9, 148
2016/2/10, 214
2016/2/11, 158
2016/2/12, 118
2016/2/13, 117
2016/2/14, 150
2016/2/15, 148
2016/2/16, 166
2016/2/17, 165
2016/2/18, 169
2016/2/19, 162
2016/2/20, 147
2016/2/21, 140
2016/2/22, 158
2016/2/23, 139
2016/2/24, 168
2016/2/25, 173
2016/2/26, 116
2016/2/27, 159
2016/2/28, 205
2016/2/29, 179
2016/3/1, 188
2016/3/2, 198
2016/3/3, 180
2016/3/4, 170
2016/3/5, 126
2016/3/6, 141
2016/3/7, 107
2016/3/8, 136
2016/3/9, 145
2016/3/10, 127
2016/3/11, 156
2016/3/12, 168
2016/3/13, 114
2016/3/14, 67
2016/3/15, 95
2016/3/16, 99
2016/3/17, 100
2016/3/18, 122
2016/3/19, 124
2016/3/22, 130
2016/3/23, 163
2016/3/24, 160
2016/3/25, 157
2016/3/26, 131
2016/3/27, 138
2016/3/28, 153
