date, pm25, pm10, o3, no2, so2, co
2019/2/1, 51, 9, 5, 10, , 
2019/2/2, 32, 5, 16, 4, , 
2019/2/3, 18, 6, 14, 3, , 
2019/2/4, 9, 16, 11, 6, , 
2019/2/5, 23, 23, 8, 12, , 
2019/2/6, 36, 24, 8, 13, , 
2019/2/7, 33, 17, 7, 13, , 
2019/2/8, 29, 12, 12, 9, , 
2019/2/9, 20, 9, 14, 4, , 
2019/2/10, 11, 13, 13, 5, , 
2019/2/11, 17, 9, 10, 10, , 
2019/2/12, 26, 8, 8, 10, , 
2019/2/13, 24, 10, 5, 13, , 
2019/2/14, 46, 10, 6, 16, , 
2019/2/15, 41, 7, 7, 12, , 
2019/2/16, 27, 7, 9, 9, , 
2019/2/17, 28, 8, 11, 7, , 
2019/2/18, 34, 13, 7, 9, , 
2019/2/19, 26, 13, 3, 12, , 
2019/2/20, 51, 7, 9, 8, , 
2019/2/21, 34, 11, 12, 11, , 
2019/2/22, 27, 10, 10, 8, , 
2019/2/23, 20, 6, 10, 6, , 
2019/2/24, 20, 5, 12, 7, , 
2019/2/25, 24, 7, 14, 9, , 
2019/2/26, 6, 9, 16, 6, , 
2019/2/27, 15, 14, 15, 10, , 
2019/2/28, 17, 11, 14, 8, , 
2019/3/1, 31, 11, 13, 10, , 
2019/3/2, 28, 10, 14, 9, , 
2019/3/3, 22, 7, 17, 5, , 
2019/3/4, 17, 19, 14, 13, , 
2019/3/5, 23, 17, 15, 13, , 
2019/3/6, 23, 15, 12, 13, , 
2019/3/7, 30, 11, 9, 10, , 
2019/3/8, 46, 7, 13, 8, , 
2019/3/9, 30, 8, 16, 8, , 
2019/3/10, 30, 14, 7, 12, , 
2019/3/11, 40, 10, 13, 8, , 
2019/3/12, 21, 8, 15, 6, , 
2019/3/13, 33, 13, 11, 9, , 
2019/3/14, 39, 12, 10, 8, , 
2019/3/15, 34, 10, 7, 8, , 
2019/3/16, 32, 11, 11, 3, , 
2019/3/17, 13, , , , , 
2019/3/18, 28, 16, 11, 11, , 
2019/3/19, 26, 23, 14, 13, , 
2019/3/20, 32, 21, 13, 13, , 
2019/3/21, 26, 23, 16, 8, , 
2019/3/22, 39, 16, 17, 4, , 
2019/3/23, 31, 8, 16, 6, , 
2019/3/24, 17, 9, 11, 7, , 
