date, pm25, pm10, o3, no2, so2, co
2018/1/25, 19, 11, , , , 
2018/1/26, 20, 10, , , , 
2018/1/27, 21, 8, , , , 
2018/1/28, 16, 10, , , , 
2018/1/29, 15, 14, , , , 
2018/1/30, 21, 16, , , , 
2018/1/31, 22, 12, , , , 
2018/2/1, 19, 11, , , , 
2018/2/2, 21, 9, , , , 
2018/2/3, 18, 6, , , , 
2018/2/4, 13, 7, , , , 
2018/2/5, 10, 8, , , , 
2018/2/6, 8, 9, , , , 
2018/2/7, 10, 9, , , , 
2018/2/8, 10, 10, , , , 
2018/2/9, 10, 10, , , , 
2018/2/10, 12, 11, , , , 
2018/2/11, 17, 12, , , , 
2018/2/12, 20, 14, , , , 
2018/2/13, 27, 20, , , , 
2018/2/14, 31, 16, , , , 
2018/2/15, 29, 20, , , , 
2018/2/16, 37, 18, , , , 
2018/2/17, 35, 15, , , , 
2018/2/18, 28, 12, , , , 
2018/2/19, 22, 13, , , , 
2018/2/20, 18, 13, , , , 
2018/2/21, 17, 14, , , , 
2018/2/22, 12, 10, , , , 
2018/2/23, 9, 6, , , , 
2018/2/24, 7, 5, , , , 
2018/2/25, 12, 6, , , , 
2018/2/26, 16, 7, , , , 
2018/2/27, 13, 6, , , , 
2018/2/28, 9, 9, , , , 
2018/3/1, 9, 11, , , , 
2018/3/2, 13, 21, , , , 
2018/3/3, 21, 18, , , , 
2018/3/4, 17, 13, , , , 
2018/3/5, 24, 8, , , , 
2018/3/6, 23, 6, , , , 
2018/3/7, 15, 9, , , , 
2018/3/8, 13, 13, , , , 
2018/3/9, 10, 9, , , , 
2018/3/10, 9, 9, , , , 
2018/3/11, 9, 6, , , , 
2018/3/12, 7, 8, , , , 
2018/3/13, 8, 10, , , , 
2018/3/14, 12, 8, , , , 
2018/3/15, 11, 12, , , , 
2018/3/16, 16, 13, , , , 
2018/3/17, 19, 12, , , , 
2018/3/18, 17, 10, , , , 
2018/3/19, 15, 7, , , , 
2018/3/20, 13, 7, , , , 
2018/3/21, 12, 9, , , , 
2018/3/22, 10, 10, , , , 
2018/3/23, 9, 10, , , , 
2018/3/24, 12, 11, , , , 
2018/3/25, 11, 11, , , , 
2018/3/26, 12, 10, , , , 
2018/3/27, 14, 14, , , , 
2018/3/28, 27, 10, , , , 
2018/3/29, 15, 10, , , , 
2018/3/30, 14, 11, , , , 
2018/3/31, 10, 11, , , , 
2018/4/1, 12, 9, , , , 
2017/10/2, 26, 11, , , , 
2017/10/3, 20, 11, , , , 
2017/10/4, 19, 9, , , , 
2017/10/5, 25, 10, , , , 
2017/10/6, 24, 11, , , , 
2017/10/7, 26, 16, , , , 
2017/10/8, 35, 12, , , , 
2017/10/9, 15, 12, , , , 
2017/10/10, 21, 16, , , , 
2017/10/11, 41, 15, , , , 
2017/10/12, 32, 13, , , , 
2017/10/13, 30, 18, , , , 
2017/10/14, 43, 16, , , , 
2017/10/15, 39, 7, , , , 
2017/10/16, 16, 9, , , , 
2017/10/17, 13, 14, , , , 
2017/10/18, 20, 10, , , , 
2017/10/19, 13, 11, , , , 
2017/10/20, 15, 15, , , , 
2017/10/21, 21, 12, , , , 
2017/10/22, 21, 7, , , , 
2017/10/23, 15, 9, , , , 
2017/10/24, 17, 8, , , , 
2017/10/25, 18, 10, , , , 
2017/10/26, 17, 12, , , , 
2017/10/27, 20, 18, , , , 
2017/10/28, 28, 16, , , , 
2017/10/29, 21, 15, , , , 
2017/10/30, 25, 15, , , , 
2017/10/31, 34, 18, , , , 
2017/11/1, 32, 19, , , , 
2017/11/2, 26, 18, , , , 
2017/11/3, 29, 15, , , , 
2017/11/4, 24, 13, , , , 
2017/11/5, 22, 14, , , , 
2017/11/6, 25, 9, , , , 
2017/11/7, 15, 12, , , , 
2017/11/8, 27, 11, , , , 
2017/11/9, 19, 10, , , , 
2017/11/10, 12, 7, , , , 
2017/11/11, 7, , , , , 
2017/12/21, 19, 12, , , , 
2017/12/22, 18, 10, , , , 
2017/12/23, 21, 10, , , , 
2017/12/24, 25, 8, , , , 
2017/12/25, 15, 11, , , , 
2017/12/26, 18, 11, , , , 
2017/12/27, 21, 7, , , , 
2017/12/28, 16, 6, , , , 
2017/12/29, 13, 6, , , , 
2017/12/30, 12, 7, , , , 
2017/12/31, 12, 9, , , , 
2018/1/1, 19, 12, , , , 
2017/7/2, 16, 12, , , , 
2017/7/3, 37, 21, , , , 
2017/7/4, 54, 17, , , , 
2017/7/5, 45, 21, , , , 
2017/7/6, 53, 14, , , , 
2017/7/7, 42, 17, , , , 
2017/7/8, 51, 14, , , , 
2017/7/9, 44, 10, , , , 
2017/7/10, 33, 15, , , , 
2017/7/11, 47, 13, , , , 
2017/7/12, 34, 11, , , , 
2017/7/13, 26, 11, , , , 
2017/7/14, 27, 18, , , , 
2017/7/15, 48, 15, , , , 
2017/7/16, 44, 9, , , , 
2017/7/17, 27, 13, , , , 
2017/7/18, 42, 15, , , , 
2017/7/19, 43, 10, , , , 
2017/7/20, 23, 7, , , , 
2017/7/21, 12, 9, , , , 
2017/7/22, 23, 14, , , , 
2017/7/23, 39, 21, , , , 
2017/7/24, 59, 17, , , , 
2017/7/25, 52, 20, , , , 
2017/7/26, 53, 19, , , , 
2017/7/27, 50, 21, , , , 
2017/7/28, 54, 23, , , , 
2017/7/29, 52, 23, , , , 
2017/7/30, 57, 26, , , , 
2017/7/31, 68, 23, , , , 
2017/8/1, 59, 17, , , , 
2017/8/2, 42, 12, , , , 
2017/8/3, 25, 20, , , , 
2017/8/4, 50, 15, , , , 
2017/8/5, 36, 9, , , , 
2017/8/6, 28, 16, , , , 
2017/8/7, 53, 14, , , , 
2017/8/8, 39, 9, , , , 
2017/8/9, 19, 9, , , , 
2017/8/10, 18, 19, , , , 
2017/8/11, 51, 24, , , , 
2017/8/12, 61, 26, , , , 
2017/8/13, 63, 29, , , , 
2017/8/14, 74, 18, , , , 
2017/8/15, 47, 20, , , , 
2017/8/16, 51, 23, , , , 
2017/8/17, 58, 24, , , , 
2017/8/18, 57, 17, , , , 
2017/8/19, 39, 16, , , , 
2017/8/20, 34, 10, , , , 
2017/8/21, 23, 20, , , , 
2017/8/22, 52, 17, , , , 
2017/8/23, 40, 20, , , , 
2017/8/24, 51, 20, , , , 
2017/8/25, 51, 18, , , , 
2017/8/26, 49, 12, , , , 
2017/8/27, 25, 13, , , , 
2017/8/28, 28, 13, , , , 
2017/8/29, 31, 5, , , , 
2017/8/30, 12, 18, , , , 
2017/8/31, 42, 19, , , , 
2017/9/1, 46, 19, , , , 
2017/9/2, 44, 20, , , , 
2017/9/3, 47, 23, , , , 
2017/9/4, 57, 34, , , , 
2017/9/5, 83, 31, , , , 
2017/9/6, 69, 13, , , , 
2017/9/7, 22, , , , , 
2017/9/11, 33, 20, , , , 
2017/9/12, 44, 20, , , , 
2017/9/13, 44, 20, , , , 
2017/9/14, 46, 21, , , , 
2017/9/15, 40, 15, , , , 
2017/9/16, 28, 17, , , , 
2017/9/17, 41, 22, , , , 
2017/9/18, 53, 21, , , , 
2017/9/19, 39, 18, , , , 
2017/9/20, 33, 24, , , , 
2017/9/21, 49, 23, , , , 
2017/9/22, 35, 19, , , , 
2017/9/23, 31, 16, , , , 
2017/9/24, 33, 18, , , , 
2017/9/25, 37, 23, , , , 
2017/9/26, 51, 24, , , , 
2017/9/27, 48, 21, , , , 
2017/9/28, 31, 19, , , , 
2017/9/29, 34, 25, , , , 
2017/9/30, 53, 18, , , , 
2017/10/1, 45, 13, , , , 
2017/4/2, 22, 11, , , , 
2017/4/3, 23, 11, , , , 
2017/4/4, 22, 9, , , , 
2017/4/5, 19, 10, , , , 
2017/4/6, 21, 10, , , , 
2017/4/7, 24, 9, , , , 
2017/4/8, 22, 9, , , , 
2017/4/9, 19, 10, , , , 
2017/4/10, 22, 13, , , , 
