date, pm25, pm10, o3, no2, so2, co
2018/11/8, 86, 34, 7, 12, , 
2018/11/9, 87, 27, 5, 10, 1, 
2018/11/10, 76, 28, 8, 8, 1, 
2018/11/11, 87, 26, 9, 7, 1, 
2018/11/12, 81, 15, 9, 9, , 
2018/11/13, 56, 12, 16, 9, , 
2018/11/14, 48, 19, 16, 9, , 
2018/11/15, 51, 19, 10, 13, , 
2018/11/16, 63, 22, 16, 7, , 
2018/11/17, 66, 25, 14, 6, , 
2018/11/18, 72, 31, 12, 4, 1, 
2018/11/19, 87, 15, 17, 2, , 
2018/11/20, 54, 18, 17, 3, , 
2018/11/21, 52, 28, 13, 4, , 
2018/11/22, 79, 30, 14, 6, , 
2018/11/23, 89, 34, 9, 9, , 
2018/11/24, 96, 37, 1, 9, , 
2018/11/25, 101, 40, 2, 7, , 
2018/11/26, 110, 32, 13, 4, , 
2018/11/27, 102, 23, 5, 11, , 
2018/11/28, 74, 21, 20, 11, , 
2018/11/29, 68, 28, 17, 7, , 
2018/11/30, 70, 25, 16, 8, 1, 
2018/12/1, 71, 25, 11, 9, , 
2018/12/2, 70, 15, 12, 6, , 
2018/12/3, 68, 6, 17, 6, , 
2018/12/4, 23, 6, 24, 4, , 
2018/12/5, 23, 9, 15, 10, 1, 
2018/12/6, 25, 10, 12, 10, , 
2018/12/7, 38, 9, 18, 6, , 
2018/12/8, 38, 3, 25, 3, , 
2018/12/9, 16, 2, 28, 1, , 
2018/12/10, 9, 3, 28, 2, , 
2018/12/11, 10, 4, 19, 2, , 
2018/12/12, 14, 5, 13, 5, , 
2018/12/13, 19, 13, 10, 4, , 
2018/12/14, 40, 18, 10, 6, , 
2018/12/15, 57, 19, 12, 4, , 
2018/12/16, 64, 22, 14, 4, , 
2018/12/17, 70, 25, 6, 11, , 
2018/12/18, 77, 22, 7, 13, , 
2018/12/19, 74, 18, 11, 10, , 
2018/12/20, 64, 21, 4, 12, , 
2018/12/21, 69, 12, 19, 6, , 
2018/12/22, 51, 6, 26, 4, , 
2018/12/23, 19, 9, 19, 4, , 
2018/12/24, 35, 8, 19, 2, , 
2018/12/25, 33, 5, 20, 2, , 
2018/12/26, 23, 12, 21, 4, , 
2018/12/27, 34, 15, 13, 6, , 
2018/12/28, 58, 14, 19, 5, , 
2018/12/29, 56, 16, 9, 12, , 
2018/12/30, 55, 8, 28, 2, , 
2018/12/31, 36, , , , , 
2018/7/2, 19, 13, 34, 3, , 
2018/7/3, 11, 16, 45, 4, , 
2018/7/4, 15, 23, 68, 4, , 
2018/7/5, 22, 30, 65, 3, , 
2018/7/6, 39, 19, 36, 1, , 
2018/7/7, 32, 18, 36, 1, , 
2018/7/8, 30, 22, 33, 1, , 
2018/7/9, 35, 20, 29, 2, , 
2018/7/10, 40, 24, 29, 2, , 
2018/7/11, 34, 19, 41, 3, , 
2018/7/12, 43, 15, 25, 3, , 
2018/7/13, 37, 21, 37, 3, , 
2018/7/14, 50, 20, 30, 3, , 
2018/7/15, 54, 27, 32, 4, , 
2018/7/16, 54, 27, 41, 5, , 
2018/7/17, 44, 33, 40, 6, , 
2018/7/18, 57, 31, 44, 4, , 
2018/7/19, 58, 33, 39, 2, , 
2018/7/20, 46, 41, 47, 6, , 
2018/7/21, 49, 46, 46, 4, , 
2018/7/22, 54, 40, 57, 3, , 
2018/7/23, 57, 30, 38, 3, , 
2018/7/24, 58, 31, 34, 5, , 
2018/7/25, 44, 36, 36, 4, , 
2018/7/26, 49, 32, 39, 3, , 
2018/7/27, 42, 33, 41, 2, , 
2018/7/28, 49, 27, 54, 4, , 
2018/7/29, 57, 21, 42, 3, , 
2018/7/30, 56, 20, 60, 5, , 
2018/7/31, 53, 25, 71, 5, , 
2018/8/1, 51, 25, 45, 4, , 
2018/8/2, 53, 22, 42, 2, , 
2018/8/3, 44, 34, 66, 6, , 
2018/8/4, 47, 38, 67, 6, , 
2018/8/5, 55, 28, 32, 3, , 
2018/8/6, 37, 27, 37, 4, , 
2018/8/7, 30, 32, 67, 5, , 
2018/8/8, 37, 34, 72, 5, , 
2018/8/9, 44, 33, 75, 3, , 
2018/8/10, 61, 21, 36, 4, , 
2018/8/11, 46, 12, 36, 4, , 
2018/8/12, 25, 17, 44, 4, , 
2018/8/13, 28, 20, 47, 6, , 
2018/8/14, 36, 16, 28, 3, , 
2018/8/15, 34, 20, 32, 2, , 
2018/8/16, 30, 23, 46, 6, , 
2018/8/17, 42, 39, 58, 5, , 
2018/8/18, 52, 35, 39, 4, , 
2018/8/19, 49, 34, 53, 4, , 
2018/8/20, 50, 38, 31, 5, , 
2018/8/21, 53, 39, 30, 2, , 
2018/8/22, 36, 35, 43, 5, , 
2018/8/23, 37, 37, 66, 7, , 
2018/8/24, 47, 31, 30, 4, , 
2018/8/25, 56, 19, 27, 4, , 
2018/8/26, 40, 10, 31, 3, , 
2018/8/27, 20, 27, 28, 5, , 
2018/8/28, 31, 24, 28, 2, , 
2018/8/29, 38, 27, 48, 8, , 
2018/8/30, 45, 27, 32, 5, , 
2018/8/31, 56, 16, 28, 3, , 
2018/9/1, 44, 18, 35, 4, , 
2018/9/2, 37, 16, 35, 2, , 
2018/9/3, 44, 20, 46, 2, , 
2018/9/4, 45, 21, 40, 3, , 
