,,,median,median,median,median,median,median
Specie,,,co,no2,o3,pm10,pm25,so2
Date,City,Country,,,,,,
1/10/2020,Jerusalem,IL,2.8,8.5,20.8,10.0,34.0,11.2
1/10/2020,Jieyang,CN,8.2,9.6,34.6,56.0,144.0,6.1
1/10/2020,Jinan,CN,0.1,33.4,2.9,82.0,165.0,10.2
1/10/2020,Johannesburg,ZA,5.5,6.9,8.2,22.0,53.0,2.1
1/10/2020,Kagoshima,JP,3.4,7.5,24.8,20.0,68.0,4.3
1/10/2020,Kanazawa,JP,3.4,4.7,27.2,4.0,17.0,1.5
1/10/2020,Kaohsiung,TW,7.8,23.2,17.6,64.0,112.0,4.3
1/10/2020,Katowice,PL,4.3,12.9,11.5,38.0,110.0,6.8
1/10/2020,Kayseri,TR,5.3,0.1,9.0,10.0,29.0,1.6
1/10/2020,Kecskemét,HU,6.5,9.2,9.9,50.0,105.0,3.5
1/10/2020,Keelung,TW,4.3,8.4,15.2,18.0,38.0,2.9
1/10/2020,Kobe,JP,3.4,7.5,26.4,10.0,30.0,1.5
1/10/2020,Kochi,JP,5.6,3.8,27.2,7.0,30.0,1.5
1/10/2020,Kolkata,IN,6.4,22.1,5.6,102.0,169.0,7.5
1/10/2020,Konya,TR,3.4,10.2,15.7,10.0,43.0,2.0
1/10/2020,Kraków,PL,9.8,20.8,4.0,50.0,134.0,7.9
1/10/2020,Kumamoto,JP,3.4,9.3,20.8,18.0,61.0,1.5
